link,chat_username,title,participants
https://t.me/GOAL24_Chat,GOAL24_Chat,Чат GOAL24,57841
https://t.me/antalya_go,antalya_go,Анталия Life - Чат | Турция,47492
https://t.me/globe_antalya_chat,globe_antalya_chat,Анталия чат,41869
https://t.me/alanya_chat_2,alanya_chat_2,АЛАНИЯ ЧАТ ТУРЦИЯ,34112
https://t.me/russiansinturkey_antalya,russiansinturkey_antalya,Русские в Анталии,27505
https://t.me/SharmExpats,SharmExpats,ШАРМ-ЭЛЬ-ШЕЙХ ЧАТ 🇪🇬 ЕГИПЕТ,25638
https://t.me/Kair_chat1,Kair_chat1,Каир Чат Египет,23901
https://t.me/antalya_chat2,antalya_chat2,Турция Анталия чат,23202
https://t.me/alanya_4atik,alanya_4atik,Алания чат | TwistMedia,21618
https://t.me/goaindiachat,goaindiachat,ГОА | ИНДИЯ | ЧАТ | ФОРУМ ⛈ 🌞 🌴,20282
https://t.me/Sharm_el_Sheikh_live,Sharm_el_Sheikh_live,Шарм-Эль-Шейх 🇪🇬 Чат,16904
https://t.me/barcelona_chat_ua,barcelona_chat_ua,Украинцы в Барселоне | Чат 🇪🇸,15122
https://t.me/expatfm_alanya,expatfm_alanya,ExpatFM. Чат Алания,14105
https://t.me/SamuiChat_INF,SamuiChat_INF,САМУЙ И ПАНГАН ЧАТ 🇹🇭 ОБЩЕНИЕ,13677
https://t.me/kazan_baraholka_chat,kazan_baraholka_chat,Казань Барахолка,13400
https://t.me/AntalyaChatik,AntalyaChatik,Анталия чатик 🇹🇷 | CHATIK,12431
https://t.me/Sharm_El_Sheikh_Chat,Sharm_El_Sheikh_Chat,Гайд 🇪🇬 Шарм-Эль-Шейх,12124
https://t.me/antalya_community_chat,antalya_community_chat,LIFE in Анталия,11328
https://t.me/chat_ankara,chat_ankara,Анкара | Турция - Общение Чат,11209
https://t.me/GoGoat_Chat,GoGoat_Chat,Go Goat! Chat,11030
https://t.me/arambol_india,arambol_india,ГОА ЧАТ 🇮🇳,10885
https://t.me/tbilisi_baraholka_chat,tbilisi_baraholka_chat,Тбилиси | Барахолка & Объявления 🇬🇪,10620
https://t.me/hanoi24hhh,hanoi24hhh,HÀ NỘI 24H CHAT,10049
